,fips,state,county,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,POP_ESTIMATE_2018,Unemployment_rate_2018,Median_Household_Income_2018,PCTPOVALL_2018,log_pop,BAC_PCT,WAC_PCT
0,01001,AL,Autauga County,2.0,2.0,55601.0,3.6,59338.0,13.8,4.75,21.092197819900125,77.97347366160125
1,01003,AL,Baldwin County,3.0,2.0,218022.0,3.6,57588.0,9.8,5.34,9.565747153211428,89.19026671564367
2,01005,AL,Barbour County,6.0,6.0,24881.0,5.2,34382.0,30.9,4.4,49.08450133679008,50.14988252450782
3,01007,AL,Bibb County,1.0,1.0,22400.0,4.0,46064.0,21.8,4.35,21.912119317674378,77.78869340001786
4,01009,AL,Blount County,1.0,1.0,57840.0,3.5,50412.0,13.2,4.76,2.206619859578736,97.13104831736588
5,01011,AL,Bullock County,6.0,6.0,10138.0,4.7,29267.0,42.5,4.01,70.992970992971,27.779427779427778
6,01013,AL,Butler County,6.0,6.0,19680.0,4.8,37365.0,24.5,4.29,45.58309337721103,53.02858905800082
7,01015,AL,Calhoun County,3.0,2.0,114277.0,4.7,45400.0,19.5,5.06,22.431231019761455,76.9561198890894
8,01017,AL,Chambers County,6.0,5.0,33615.0,3.9,39917.0,18.7,4.53,40.978528898779096,58.19450291694233
9,01019,AL,Cherokee County,6.0,6.0,26032.0,3.6,42132.0,16.3,4.42,4.756451366620858,94.69766376546038
10,01021,AL,Chilton County,1.0,1.0,44153.0,3.6,47547.0,17.3,4.64,11.13261906905555,88.3271810569911
11,01023,AL,Choctaw County,9.0,10.0,12841.0,5.5,39907.0,22.1,4.11,42.139963460163635,57.75677178489157
12,01025,AL,Clarke County,7.0,11.0,23920.0,7.5,40741.0,22.8,4.38,45.571924477182286,53.82694098721531
13,01027,AL,Clay County,9.0,10.0,13275.0,3.9,39201.0,17.6,4.12,15.073668303740085,85.21344918775972
14,01029,AL,Cleburne County,8.0,4.0,14987.0,4.2,46495.0,16.0,4.18,3.5211267605633805,96.2038900067069
15,01031,AL,Coffee County,4.0,5.0,51909.0,3.9,55122.0,13.8,4.72,18.971380535707464,78.62519582744258
16,01033,AL,Colbert County,3.0,2.0,54762.0,4.6,49055.0,13.8,4.74,17.217284263499938,82.23421009757246
17,01035,AL,Conecuh County,7.0,11.0,12277.0,5.2,32613.0,24.4,4.09,46.813623933040525,53.020634789094224
18,01037,AL,Coosa County,8.0,3.0,10715.0,4.2,42423.0,18.9,4.03,31.538966519741162,68.02963518709556
19,01039,AL,Covington County,6.0,6.0,36986.0,4.6,40203.0,19.9,4.57,13.463251369807553,86.12378201840805
20,01041,AL,Crenshaw County,8.0,6.0,13824.0,4.1,39057.0,19.5,4.14,25.232355503921,74.19401684577403
