"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1989:Q3","Top1",4796887,4914885,592283,358473,877470,401096,1334488,1351075,117998,72415,24918,20666
"1989:Q3","Next9",7618079,8121752,2064269,421044,813084,1798067,1035608,1989682,503673,390336,56197,57140
"1989:Q3","Next40",7247302,8799443,3419712,759881,338806,2062336,563163,1655545,1552141,1157147,363421,31573
"1989:Q3","Bottom50",757651,1716414,815688,356952,22119,211696,45157,264801,958763,590792,339671,28300
"1989:Q4","Top1",4917679,5040661,614985,357811,900534,418718,1348476,1400137,122982,74365,25338,23278
"1989:Q4","Next9",7751787,8246140,2118995,423096,830013,1828906,1030731,2014400,494353,384021,56584,53749
"1989:Q4","Next40",7329780,8977298,3443256,774853,357974,2137833,580261,1683121,1647518,1237787,376923,32809
"1989:Q4","Bottom50",805063,1746943,817081,370015,25029,215937,46329,272551,941880,563943,350440,27497
"1990:Q1","Top1",4876390,5004276,637078,348350,822958,418903,1335134,1441853,127886,78205,24523,25159
"1990:Q1","Next9",7768124,8287865,2122797,435224,793241,1870304,1042537,2023761,519741,408528,56564,54650
"1990:Q1","Next40",7509479,9136351,3511628,796158,353298,2175531,597586,1702150,1626873,1233213,358574,35086
"1990:Q1","Bottom50",788336,1782900,826629,387398,25120,215574,49542,278637,994564,614967,352658,26939
"1990:Q2","Top1",4949316,5078581,659536,350011,855071,429413,1338144,1446407,129265,79323,23201,26740
"1990:Q2","Next9",7894868,8421464,2152728,434013,820265,1924359,1054027,2036072,526595,414994,58876,52726
"1990:Q2","Next40",7518845,9204559,3502053,809393,362625,2213511,590020,1726958,1685715,1293320,356442,35953
"1990:Q2","Bottom50",808549,1802798,822551,399094,26320,219503,51291,284040,994249,607774,360193,26282
"1990:Q3","Top1",4732067,4870041,665150,327612,646352,418289,1288298,1524340,137974,84094,25378,28502
"1990:Q3","Next9",7877613,8410142,2136014,457469,714242,1968386,1084812,2049220,532529,432970,54064,45496
"1990:Q3","Next40",7594433,9282050,3524036,827393,332902,2237060,622112,1738547,1687617,1286135,366651,34831
"1990:Q3","Bottom50",814457,1849523,861038,403772,23546,214524,57268,289375,1035067,643539,366210,25318
"1990:Q4","Top1",4956956,5100682,688002,323748,751397,431837,1323198,1582499,143726,88921,24402,30404
"1990:Q4","Next9",7949025,8484567,2101278,460357,782414,1984950,1059847,2095721,535542,431409,57113,47020
"1990:Q4","Next40",7716380,9456928,3538096,841984,368238,2322991,625952,1759668,1740548,1336878,367335,36335
"1990:Q4","Bottom50",817788,1850129,843752,413030,28048,216918,55544,292837,1032341,632047,375541,24753
"1991:Q1","Top1",5242740,5388238,701816,330142,909705,456030,1388839,1601707,145498,92142,20995,32361
"1991:Q1","Next9",8031830,8562828,2127236,453719,879489,1975332,1013171,2113881,530998,421213,62988,46797
"1991:Q1","Next40",7807703,9612435,3509777,855855,416741,2428228,621912,1779921,1804732,1427153,339765,37814
"1991:Q1","Bottom50",914606,1906155,874019,428113,34080,222943,50904,296096,991549,588644,378458,24447
"1991:Q2","Top1",5205191,5353465,715556,320336,891098,477101,1366474,1582899,148274,94829,20257,33188
"1991:Q2","Next9",8047197,8594372,2130502,462440,879517,1995706,1024865,2101341,547175,438288,63466,45421
"1991:Q2","Next40",7843227,9669504,3498840,868939,418974,2478552,617871,1786328,1826277,1454414,334284,37580
"1991:Q2","Bottom50",943277,1952774,906314,431992,34432,229184,52881,297971,1009497,602582,383299,23615
"1991:Q3","Top1",5313242,5462350,738159,310559,970745,508297,1365238,1569351,149108,97373,18014,33721
"1991:Q3","Next9",8036480,8625370,2093094,470151,931796,2005765,1018274,2106290,588891,470715,65756,52420
"1991:Q3","Next40",8041984,9808235,3529432,884282,441386,2548704,603116,1801315,1766251,1396807,329856,39588
"1991:Q3","Bottom50",927576,1989115,922990,438450,37066,238173,52244,300191,1061539,649074,388874,23592
"1991:Q4","Top1",5602468,5752336,742492,306927,1205803,533456,1397188,1566469,149868,99175,16152,34541
"1991:Q4","Next9",8176983,8801164,2116092,470786,1063464,2016938,988601,2145284,624181,494627,69036,60518
"1991:Q4","Next40",8152000,9933824,3494584,896253,496990,2640310,591334,1814352,1781824,1406837,332929,42058
"1991:Q4","Bottom50",989317,2077102,995945,443422,43670,243119,48726,302219,1087785,666717,397464,23605
"1992:Q1","Top1",5559397,5707121,788888,296297,1164720,536233,1380489,1540494,147723,97827,13488,36408
"1992:Q1","Next9",8205835,8862378,2140845,479684,1044993,2080055,1009915,2106887,656544,530901,69244,56400
"1992:Q1","Next40",8275172,10017847,3512184,908974,498614,2684674,591715,1821686,1742675,1388004,313287,41384
"1992:Q1","Bottom50",975840,2087907,1003711,447140,43861,239849,50235,303111,1112067,690990,397334,23743
"1992:Q2","Top1",5563385,5709611,844283,288334,1164304,557834,1356523,1498333,146226,97626,11089,37512
"1992:Q2","Next9",8232880,8927030,2126801,485159,1043612,2142922,1032974,2095563,694150,562503,70725,60921
"1992:Q2","Next40",8356149,10083512,3522596,923712,502980,2730211,569913,1834100,1727362,1376682,308111,42570
"1992:Q2","Bottom50",954707,2084966,984854,455875,44178,243479,50809,305771,1130260,703885,402408,23968
"1992:Q3","Top1",5651328,5801701,872808,271771,1236315,589124,1359754,1471931,150374,101678,9982,38714
"1992:Q3","Next9",8308737,9038646,2105759,497053,1073629,2193196,1053754,2115255,729909,596771,72429,60709
"1992:Q3","Next40",8494891,10204958,3529625,940940,523942,2794308,552348,1863796,1710067,1357849,309874,42345
"1992:Q3","Bottom50",1001041,2173020,1055796,461778,46456,249372,49914,309705,1171979,739029,409649,23302
"1992:Q4","Top1",5932397,6087418,863359,281894,1442173,572287,1392094,1535611,155021,105741,9950,39329
"1992:Q4","Next9",8445383,9172038,2104052,496327,1199343,2274512,1004169,2093637,726656,597207,73063,56386
"1992:Q4","Next40",8717989,10432530,3608128,945118,559543,2898484,564895,1856361,1714541,1354969,316389,43183
"1992:Q4","Bottom50",960113,2195088,1067442,469916,51649,246187,49070,310824,1234974,782436,425366,27172
"1993:Q1","Top1",6129735,6283122,877052,301817,1508298,584234,1432760,1578961,153387,105876,7969,39542
"1993:Q1","Next9",8539779,9243846,2147570,485271,1247312,2305635,989973,2068085,704067,571030,74626,58411
"1993:Q1","Next40",8723721,10509581,3605873,943266,568148,2984076,573244,1834974,1785859,1448371,292043,45445
"1993:Q1","Bottom50",977158,2170142,1023560,476046,53387,256042,49766,311341,1192983,728910,432624,31449
